Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;8;9091962;"Chaudhuri, Aarini";1220;1.0;*;1.0;1340;"Penugurti, Advika Satya";9100674;7
2;1;8999111;"Udhaya Kumar, Medhini";0;2.0;*;0.0;0;"Rijal, Luna";9146533;6
3;2;8961678;"Omnes, Zoë";1455;3.0;*;1.0;0;"Mohan, Manaswini";9052021;5
4;3;9118450;"Kannan, Aishwarya";0;1.0;*;3.0;1309;"Leenen, Pomme";8902344;4
