Rank;Name;Flags;Score;Federation;Gender;Rating;TPR;W-We;BH;SB
1;"Leenen, Boyd";;3.0;NED;M;2096;1996;-0.36;10.5; 7.5
2;"Huang, Vincent";;3.0;NED;M;1883;1980;+0.58; 8.5; 6.25
3;"Bruls, Sven";;3.0;NED;M;1784;1908;+0.55; 8.5; 5.5
4;"Lalkota, Sai Pranav Tejas";;3.0;NED;M;1849;2025;+0.69; 7.5; 4.75
5;"Zhou, Yanyang";;2.5;NED;M;1867;1700;-0.56; 8.5; 4.0
6;"Van Houtert, Lennart";;2.0;NED;M;1737;1729;-0.02; 9.5; 4.0
7;"Methlouthi, Aly";;2.0;NED;M;1386;985;-0.16; 8.0; 2.0
8;"Verstegen, Jonas";;2.0;NED;M;1830;1708;-0.43; 7.0; 2.75
9;"Zhang, Eric";;2.0;NED;M;1505;1068;-0.21; 6.5; 1.5
10;"Lalkota, Srikar";;2.0;NED;M;1334;934;-0.08; 5.0; 1.5
11;"Leenen, Bing";;1.5;NED;M;0;1244;1244; 6.5; 1.5
12;"Morgan, Finn";;1.0;NED;M;0;1309;1309; 8.5; 2.0
13;"Khuat Duy, Vincent";;1.0;NED;M;0;883; 883; 8.5; 1.0
