Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;1;8809306;"Leenen, Boyd";2096;2.5;1/2-1/2;2.5;1883;"Huang, Vincent";8973327;2
2;3;8990377;"Zhou, Yanyang";1867;2.0;1/2-1/2;2.5;1849;"Lalkota, Sai Pranav Tejas";8930592;4
3;9;9021133;"Methlouthi, Aly";1386;2.0;0-1;2.0;1784;"Bruls, Sven";9028008;6
4;5;8924927;"Verstegen, Jonas";1830;1.5;1/2-1/2;1.5;1737;"Van Houtert, Lennart";8890805;7
5;8;8746727;"Zhang, Eric";1505;1.0;1-0;1.0;0;"Morgan, Finn";9093799;13
6;10;8974768;"Lalkota, Srikar";1334;1.0;1-0;1.0;0;"Khuat Duy, Vincent";9013829;11
-;12;8902355;"Leenen, Bing";0;0.5;1;;;pairing allocated bye
