Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;3;9018559;"Kruger, Derik";1693;3.0;1-0;3.0;1485;"Methlouthi, Aly";9021133;10
2;16;9095779;"Brik, Yazan";1331;2.0;0-1;3.0;1845;"Zhou, Yanyang";8990377;2
3;1;8933991;"Ma, Tim";1990;2.0;1/2-1/2;2.0;1636;"Kokkula, Advaith Krishna";9054606;6
4;5;8985273;"Plukkel, Guus";1674;2.0;1-0;2.0;1211;"Roghair, Tommie";9125710;20
5;7;9022409;"Pata, Teodor-Stefan";1615;2.0;1-0;2.0;1481;"Li, Vince";9068708;11
6;14;9069291;"Jin, Hongyi";1390;1.0;0-1;1.5;1412;"Penugurti, Advika Satya";9100674;12
7;17;8850776;"Gang, Luke Wan Cheng";1252;1.0;0-1;1.0;1686;"Patil, Anay";9105261;4
8;21;8999111;"Udhaya Kumar, Medhini";1167;1.0;0-1;1.0;1533;"Ng, Thomas";8891575;8
9;15;9116855;"Küçük, Çinar";1368;1.0;0-1;1.0;1228;"Lalkota, Srikar";8974768;19
10;18;9083679;"Ding, David";1241;1.0;0-1;0.5;1524;"Gafurov, Damir";8966474;9
-;13;8939656;"Knippels, Tim";1405;0.0;1;;;pairing allocated bye
