Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;2;8973327;"Huang, Vincent";1883;3.5;*;4.0;1849;"Lalkota, Sai Pranav Tejas";8930592;4
2;1;8809306;"Leenen, Boyd";2096;4.0;*;3.0;1867;"Zhou, Yanyang";8990377;3
3;6;9028008;"Bruls, Sven";1784;3.0;*;3.0;1505;"Zhang, Eric";8746727;8
4;12;8902355;"Leenen, Bing";0;2.5;*;2.5;1737;"Van Houtert, Lennart";8890805;7
5;9;9021133;"Methlouthi, Aly";1386;2.5;*;2.0;1334;"Lalkota, Srikar";8974768;10
6;13;9093799;"Morgan, Finn";0;2.0;*;1.0;0;"Khuat Duy, Vincent";9013829;11
-;5;8924927;"Verstegen, Jonas";1830;2.0;1;;;pairing allocated bye
