Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;2;9013796;"Altay, Cagan Deniz";1484;4.5;1-0;4.0;1189;"Ajvazian, Alex";9074824;9
2;13;9123906;"Hart, Sage";916;3.0;1-0;4.5;1314;"Traas, Boaz";9085164;5
3;4;9095779;"Brik, Yazan";1321;3.0;1-0;3.0;1541;"Leenen, Bing";8902355;1
4;6;9021144;"Methlouthi, Youssef";1266;3.0;0-1;3.0;1358;"Küçük, Çinar";9116855;3
5;10;9103347;"Mysore, Dhyaan";1083;2.0;0-1;3.0;1218;"Lalkota, Srikar";8974768;7
6;8;9100454;"Do, Leo";1216;2.0;1-0;2.0;0;"Ramidi,Svaksha Idhayan";9147358;18
7;12;9058049;"Van der Aalst, Sevein";1038;2.0;0-1;2.0;1038;"Marupudi, Maurya Kiran";9100641;11
8;16;9114864;"Sahu, Chirayush";460;1.5;0-1;1.0;814;"Gupta, Kiaan";9113544;14
9;15;9025951;"Gang, Max Wan Xi";717;0.0;0-1;1.5;0;"Metha, Kabir";9141418;17
