Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;6;9028008;"Bruls, Sven";1784;2.0;0-1;1.5;2096;"Leenen, Boyd";8809306;1
2;2;8973327;"Huang, Vincent";1883;1.5;1-0;1.5;1830;"Verstegen, Jonas";8924927;5
3;4;8930592;"Lalkota, Sai Pranav Tejas";1849;1.5;1-0;1.5;1737;"Van Houtert, Lennart";8890805;7
4;11;9013829;"Khuat Duy, Vincent";0;1.0;0-1;1.0;1867;"Zhou, Yanyang";8990377;3
5;13;9093799;"Morgan, Finn";0;1.0;0-1;1.0;1386;"Methlouthi, Aly";9021133;9
6;12;8902355;"Leenen, Bing";0;0.5;0-1;0.0;1334;"Lalkota, Srikar";8974768;10
-;8;8746727;"Zhang, Eric";1505;0.0;1;;;pairing allocated bye
