Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;8;8710284;"Gang, Kevin Wan Ze";1548;0.0;*;0.0;0;"Hompes, Roel";8831482;5
2;6;9105250;"Patil, Advay";0;0.0;*;0.0;0;"Esch, Nolan";8876923;4
3;7;8845001;"Vogels, Mathijs";1952;1.0;*;0.0;1833;"Young, Scott";8888583;3
4;1;8712627;"Yildirim, Azra";1718;0.0;*;0.0;0;"Kursten, Gwen";8784600;2
