Rank;Name;Flags;Score;Federation;Gender;Rating;TPR;W-We;BH;SB
1;"Vogels, Mathijs";A;6.5;NED;M;1952;1974;+0.13;21.5;19.0
2;"Young, Scott";A;5.0;NED;M;1833;1864;+0.16;23.0;13.5
3;"Hompes, Roel";B;4.5;NED;M;0;1763;1763;23.5;11.75
4;"Patil, Advay";B;4.5;NED;M;0;1763;1763;23.5; 9.75
5;"Yildirim, Azra";Am;3.5;NED;F;1718;1778;+0.23;24.5; 6.5
6;"Gang, Kevin Wan Ze";B;3.0;NED;M;1548;1033;-0.52;25.0; 5.5
7;"Esch, Nolan";A;1.0;NED;M;0;963; 963;27.0; 0.0
8;"Kursten, Gwen";Am;0.0;NED;F;0;963; 963;28.0; 0.0
