Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;4;8876923;"Esch, Nolan";0;1.0;*;2.0;1548;"Gang, Kevin Wan Ze";8710284;8
2;5;8831482;"Hompes, Roel";0;2.5;*;4.0;1833;"Young, Scott";8888583;3
3;6;9105250;"Patil, Advay";0;2.5;*;0.0;0;"Kursten, Gwen";8784600;2
4;7;8845001;"Vogels, Mathijs";1952;4.5;*;3.5;1718;"Yildirim, Azra";8712627;1
