Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;7;8890805;"Van Houtert, Lennart";1737;3.5;*;5.0;2096;"Leenen, Boyd";8809306;1
2;6;9028008;"Bruls, Sven";1784;4.0;*;4.5;1883;"Huang, Vincent";8973327;2
3;4;8930592;"Lalkota, Sai Pranav Tejas";1849;4.0;*;3.5;1386;"Methlouthi, Aly";9021133;9
4;3;8990377;"Zhou, Yanyang";1867;3.0;*;3.0;0;"Morgan, Finn";9093799;13
5;8;8746727;"Zhang, Eric";1505;3.0;*;2.5;0;"Leenen, Bing";8902355;12
6;11;9013829;"Khuat Duy, Vincent";0;1.0;*;3.0;1830;"Verstegen, Jonas";8924927;5
-;10;8974768;"Lalkota, Srikar";1334;2.0;1;;;pairing allocated bye
