Rank;Name;Flags;Score;Federation;Gender;Rating;TPR;W-We;BH;SB
1;"Vogels, Mathijs";A;5.5;NED;M;1952;1886;-0.08;15.0;12.5
2;"Young, Scott";A;5.0;NED;M;1833;1864;+0.16;15.5;11.0
3;"Patil, Advay";B;3.5;NED;M;0;1763;1763;20.5; 8.25
4;"Hompes, Roel";B;3.5;NED;M;0;1614;1614;15.5; 6.25
5;"Yildirim, Azra";Am;3.5;NED;F;1718;1884;+0.44;15.0; 5.5
6;"Gang, Kevin Wan Ze";B;2.0;NED;M;1548;1033;-0.52;21.0; 3.5
7;"Esch, Nolan";A;1.0;NED;M;0;1034;1034;21.0; 0.0
8;"Kursten, Gwen";Am;0.0;NED;F;0;963; 963;20.5; 0.0
