Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;2;8990377;"Zhou, Yanyang";1845;2.0;1-0;2.0;1674;"Plukkel, Guus";8985273;5
2;6;9054606;"Kokkula, Advaith Krishna";1636;2.0;0-1;2.0;1693;"Kruger, Derik";9018559;3
3;8;8891575;"Ng, Thomas";1533;1.0;0-1;2.0;1485;"Methlouthi, Aly";9021133;10
4;1;8933991;"Ma, Tim";1990;1.0;1-0;1.0;1368;"Küçük, Çinar";9116855;15
5;4;9105261;"Patil, Anay";1686;1.0;0-1;1.0;1331;"Brik, Yazan";9095779;16
6;19;8974768;"Lalkota, Srikar";1228;1.0;0-1;1.0;1615;"Pata, Teodor-Stefan";9022409;7
7;11;9068708;"Li, Vince";1481;1.0;1-0;1.0;1167;"Udhaya Kumar, Medhini";8999111;21
8;20;9125710;"Roghair, Tommie";1211;1.0;1-0;1.0;1390;"Jin, Hongyi";9069291;14
9;12;9100674;"Penugurti, Advika Satya";1412;0.5;1-0;0.5;1524;"Gafurov, Damir";8966474;9
10;13;8939656;"Knippels, Tim";1405;0.0;0-1;0.0;1241;"Ding, David";9083679;18
-;17;8850776;"Gang, Luke Wan Cheng";1252;0.0;1;;;pairing allocated bye
