Rank;Name;Flags;Score;Federation;Gender;Rating;TPR;W-We;BH;SB
1;"Vogels, Mathijs";A;1.0;NED;M;1952;0;+0.00; 0.0; 0.0
2;"Young, Scott";A;1.0;NED;M;1833;0;+0.00; 0.0; 0.0
3;"Yildirim, Azra";Am;1.0;NED;F;1718;2348;+0.28; 0.0; 0.0
4;"Hompes, Roel";B;1.0;NED;M;0;0;0; 0.0; 0.0
5;"Gang, Kevin Wan Ze";B;0.0;NED;M;1548;918;-0.28; 1.0; 0.0
6;"Kursten, Gwen";Am;0.0;NED;F;0;1152;0; 1.0; 0.0
7;"Esch, Nolan";A;0.0;NED;M;0;0;0; 1.0; 0.0
8;"Patil, Advay";B;0.0;NED;M;0;1033;0; 1.0; 0.0
