Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;2;8990377;"Zhou, Yanyang";1845;4.0;*;4.0;1693;"Kruger, Derik";9018559;3
2;10;9021133;"Methlouthi, Aly";1485;3.0;*;3.0;1674;"Plukkel, Guus";8985273;5
3;6;9054606;"Kokkula, Advaith Krishna";1636;2.5;*;3.0;1615;"Pata, Teodor-Stefan";9022409;7
4;12;9100674;"Penugurti, Advika Satya";1412;2.5;*;2.5;1990;"Ma, Tim";8933991;1
5;4;9105261;"Patil, Anay";1686;2.0;*;2.0;1228;"Lalkota, Srikar";8974768;19
6;8;8891575;"Ng, Thomas";1533;2.0;*;2.0;1331;"Brik, Yazan";9095779;16
7;20;9125710;"Roghair, Tommie";1211;2.0;*;2.0;1481;"Li, Vince";9068708;11
8;9;8966474;"Gafurov, Damir";1524;1.5;*;1.0;1405;"Knippels, Tim";8939656;13
9;14;9069291;"Jin, Hongyi";1390;1.0;*;1.0;1167;"Udhaya Kumar, Medhini";8999111;21
10;18;9083679;"Ding, David";1241;1.0;*;1.0;1252;"Gang, Luke Wan Cheng";8850776;17
-;15;9116855;"Küçük, Çinar";1368;1.0;1;;;pairing allocated bye
